,ORIGINAL_commentText,commentText,Label
30,"# معلومه  _ الآن
 1  -  فندق Arbez يقع بين الحدود السويسريه  الفرنسيه  ،  زائر الفندق يستيطع الدخول اليه من سويسرا ويخرج منه ليجد نفسه فى فرنسا
 2  - شركه  لمبورغينى للسيارات تاسست بسبب ان صاحب شركه  فيرارى اهان صاحب شركه  للتراكتورات  "" جرارات ""  فغضب واسس شركه  لينافسه !  
 3  - هل تعلم ان كوريا الشماليه  تعتبر من الدول الغير العربيه  الوحيده  التى لم تعترف بوجود اسرائيل 
 4  - داعش الآن لديها مساحه  اكبر من بريطانيا . 
القناه  مزالت فى بدايتها  .  .  فقط ضع الماوس على اسمى واضغط اشتراك  :  )","# معلومه  _ الآن  1  -  فندق Arbez يقع بين الحدود السويسريه  الفرنسيه  ،  زائر الفندق يستيطع الدخول اليه من سويسرا ويخرج منه ليجد نفسه فى فرنسا  2  - شركه  لمبورغينى للسيارات تاسست بسبب ان صاحب شركه  فيرارى اهان صاحب شركه  للتراكتورات  "" جرارات ""  فغضب واسس شركه  لينافسه !    3  - هل تعلم ان كوريا الشماليه  تعتبر من الدول الغير العربيه  الوحيده  التى لم تعترف بوجود اسرائيل   4  - داعش الآن لديها مساحه  اكبر من بريطانيا .  القناه  مزالت فى بدايتها  .  .  فقط ضع الماوس على اسمى واضغط اشتراك  :  )",N
31," # مقهورين # مضغوطين
الفنان كاظم الساهر تاج راسكم 😍", # مقهورين # مضغوطين الفنان كاظم الساهر تاج راسكم 😍,N
32,# مكهورين - من - البقره,# مكهورين - من - البقره,P
33,# مكهوووورييين من كظومى تاج راسكم القيصر 😛✌,# مكهوووورييين من كظومى تاج راسكم القيصر 😛✌,N
34,# ههههههههههههههه .  انتو وين والقيصر وين ترحوله فدوه واخر ثنين احب اكلهم انتو منو حته تحجون ماشايفكم قبل,# ههههههههههههههه .  انتو وين والقيصر وين ترحوله فدوه واخر ثنين احب اكلهم انتو منو حته تحجون ماشايفكم قبل,N
35,+ تفوووووو عليكى احلام,+ تفوووووو عليكى احلام,P
36,✋🏻مايمثل العراقين باى شكل من الاشكال,✋🏻مايمثل العراقين باى شكل من الاشكال,N
37,✌🏻️مضغوطين 😂😂😂😂😂😂🌚👂🏻,✌🏻️مضغوطين 😂😂😂😂😂😂🌚👂🏻,N
38,❉『 ياصاحب الفيديو نزل عن رقى وتواضع الفنان كاظم عشان نعمل منشن للحاقدين وننشره 』❧,❉『 ياصاحب الفيديو نزل عن رقى وتواضع الفنان كاظم عشان نعمل منشن للحاقدين وننشره 』❧,P
39,❤ لطيفه  صريحه   وكلاهما صح واحنا بكينا ع صدام كمان,❤ لطيفه  صريحه   وكلاهما صح واحنا بكينا ع صدام كمان,N
40,❤❤💋❤❤💖💖💖💕💕💕💕💕💕👍👍👍👍👍👍👍👍👍👍👍👍👍,❤❤💋❤❤💖💖💖💕💕💕💕💕💕👍👍👍👍👍👍👍👍👍👍👍👍👍,N
41,👈 ايدايئت 👉  احلام تدايئت,👈 ايدايئت 👉  احلام تدايئت,N
42,👈👑👑👑 كاظم,👈👑👑👑 كاظم,N
43,👞👞👞👞 هذا الحذاء على راس حكماء الخليج الجبناء,👞👞👞👞 هذا الحذاء على راس حكماء الخليج الجبناء,P
44,👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸,👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸,N
45,💋💋💋💋💋ان احب احلام,💋💋💋💋💋ان احب احلام,N
46,💕💕💕💕💕❤❤❤❤❤❤❤❤💕💕💕💕💕💕💕❤❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤❤💕💕💕💕💕💕💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤❤💕💕💕💕💕💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕,💕💕💕💕💕❤❤❤❤❤❤❤❤💕💕💕💕💕💕💕❤❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤❤💕💕💕💕💕💕💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤❤💕💕💕💕💕💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕,N
47,💚احﻻم معقده  من اصولها السودانيه  وتتهجم على اسيادها وين هى وين شمس الشموسه  ﻻتقارنو رجل اسمه احﻻم بانثى كامله  مثل  ( شمس الشموسه   ) احﻻم سوى تجميل وحطى شنب  ) 😅ﻻيق ويكمل رجولتك,💚احﻻم معقده  من اصولها السودانيه  وتتهجم على اسيادها وين هى وين شمس الشموسه  ﻻتقارنو رجل اسمه احﻻم بانثى كامله  مثل  ( شمس الشموسه   ) احﻻم سوى تجميل وحطى شنب  ) 😅ﻻيق ويكمل رجولتك,P
48,😂😂 استغفر الله,😂😂 استغفر الله,N
49,😂😂 انوب مسمى نفسه  سااااااراا انى لو اسمى سارا انتخر 😂😂😂😂,😂😂 انوب مسمى نفسه  سااااااراا انى لو اسمى سارا انتخر 😂😂😂😂,N
50,😂😂 يبقى كاظم الساهر تاج على راسكم يا فاشلين وابقووو احجوو القافله تسير والكلاب دائما تنبح  .  دايم ياقيصر💜,😂😂 يبقى كاظم الساهر تاج على راسكم يا فاشلين وابقووو احجوو القافله تسير والكلاب دائما تنبح  .  دايم ياقيصر💜,P
51,😂😂😂 المصريين مهزله,😂😂😂 المصريين مهزله,P
52,😂😂😂 والله مضغوطين منه هذا يكول نجاحه لبنان هذاك يكول الكويت حبايب هو لو مو صوته واغانيه الحلوه انتو تره لا تقدمون ولا تاخرون شى بحياته 😒 يغارون منه,😂😂😂 والله مضغوطين منه هذا يكول نجاحه لبنان هذاك يكول الكويت حبايب هو لو مو صوته واغانيه الحلوه انتو تره لا تقدمون ولا تاخرون شى بحياته 😒 يغارون منه,N
53,"😂😂😂😂 لا اله الا الله شنو هالبلا۽ 
 # البغداديه  "" ","😂😂😂😂 لا اله الا الله شنو هالبلا۽   # البغداديه  "" ",N
54,😂😂😂😂😂 آه يا قلبى الرجال يتحولو نساء,😂😂😂😂😂 آه يا قلبى الرجال يتحولو نساء,N
55,😂😂😂😂😂😂😂,😂😂😂😂😂😂😂,N
56,"😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
كلها مسويته لبنان و الكويت و عبد الله رويشد و جورج و  .  .  .  .  .  الخ 
الحمدلله و الشكر 
اذا يريد يشكر شخص يشكر نزار الله يرحمه و بس",😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 كلها مسويته لبنان و الكويت و عبد الله رويشد و جورج و  .  .  .  .  .  الخ  الحمدلله و الشكر  اذا يريد يشكر شخص يشكر نزار الله يرحمه و بس,N
57,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😒😒😒😒  قمت اﻻدب انتى يختى 💩💩💩💩💩,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😒😒😒😒  قمت اﻻدب انتى يختى 💩💩💩💩💩,N
58,😂😂😂😂😂😂😂حسبى الله ولا كلمه  متناسقه  مع الثاانيه,😂😂😂😂😂😂😂حسبى الله ولا كلمه  متناسقه  مع الثاانيه,N
59,😂😂😂😂😂😂😂هههاى استغفر الله هياط,😂😂😂😂😂😂😂هههاى استغفر الله هياط,N
60,😂😂😂😂😂😂استغفر الله وش ذا وجع,😂😂😂😂😂😂استغفر الله وش ذا وجع,N
61,😂😂😂😂😂😂مهزله,😂😂😂😂😂😂مهزله,P
62,😂😂😂😂😂احلى شيء انها انسجنت😂,😂😂😂😂😂احلى شيء انها انسجنت😂,N
63,😂😂😂😂😂البس محترم وله ضحكتنى هههههه 😂😂😂😂😂😂😂😂,😂😂😂😂😂البس محترم وله ضحكتنى هههههه 😂😂😂😂😂😂😂😂,N
64,😂😂😂😂😂شصار بالعالم تف عليه  وعلى شكلى راح انطيه  رحمي😒,😂😂😂😂😂شصار بالعالم تف عليه  وعلى شكلى راح انطيه  رحمي😒,P
65,😂😂😂😂😂مظغوطين من القيصر,😂😂😂😂😂مظغوطين من القيصر,N
66,"😂😂😂😂😂و عايش الدور كمان 
مصدق انو مرا",😂😂😂😂😂و عايش الدور كمان  مصدق انو مرا,N
67,😂😂😂مفهمتش منو الفاضى الى مصورلها الكليب,😂😂😂مفهمتش منو الفاضى الى مصورلها الكليب,N
68,😂😂شنو هذا يا .  .  .  .  .  .  .  .,😂😂شنو هذا يا .  .  .  .  .  .  .  .,N
69,😂😂شها الشكال مصدق عمره وين امل العوضى وين انت بتموت امل وين اها الاشكال وين 😲😨مجنون يحمل شلون الياهل بيطلع,😂😂شها الشكال مصدق عمره وين امل العوضى وين انت بتموت امل وين اها الاشكال وين 😲😨مجنون يحمل شلون الياهل بيطلع,N
70,"😂😂ما قتلنى غير هذا الى اخر المقطع رقم  1  
ولك شجابك على كاظم ياجماعه  الخير هذا شسمه بس اريد اسمع صوته لسه  ما سامعته",😂😂ما قتلنى غير هذا الى اخر المقطع رقم  1   ولك شجابك على كاظم ياجماعه  الخير هذا شسمه بس اريد اسمع صوته لسه  ما سامعته,N
71,😂😂هههه بسم الله اول ما شفته اتخرعت,😂😂هههه بسم الله اول ما شفته اتخرعت,N
72,😂ساعدت😁شنو😂😂😂😂,😂ساعدت😁شنو😂😂😂😂,N
73,😄😂😂,😄😂😂,N
74,"😅😅😅😅😅
الضاهر الجماعه  # مظغوطين من كاظم العملاق الاسطوره
نعاله يسوه الفيديو كوله",😅😅😅😅😅 الضاهر الجماعه  # مظغوطين من كاظم العملاق الاسطوره نعاله يسوه الفيديو كوله,N
75,😆😆مو عراقي,😆😆مو عراقي,N
76,😋😋ههههههن,😋😋ههههههن,N
77,😒البنت حره ب تصرفاته انتم شكو بيه,😒البنت حره ب تصرفاته انتم شكو بيه,N
78,😕😕 مريضه,😕😕 مريضه,P
79,😠اخ حسافه من هدفها كفوف عملها شلون تطاول على الكويت وعلى سيده  عائشه  رضى الله عنها,😠اخ حسافه من هدفها كفوف عملها شلون تطاول على الكويت وعلى سيده  عائشه  رضى الله عنها,P
80,😢كيف ما ابكى يلعن حضى هاض اكتر انوته  مني,😢كيف ما ابكى يلعن حضى هاض اكتر انوته  مني,N
81,😤انت وحده  ديڨولاس آمبسيل ستوپيد حقيره  عديمه  التربيه  فاسقه  خامجه  منحله  منحطه  مبتذله  رخيصه  اصلا وجهك راه مديفورمى خلاص تقول فات عليك كاميون سومى بقره  ايديو بغله  نتى لو تجى عالجزائر نقطعوك طراف طراف  ، جزائريه  وافتخر .,😤انت وحده  ديڨولاس آمبسيل ستوپيد حقيره  عديمه  التربيه  فاسقه  خامجه  منحله  منحطه  مبتذله  رخيصه  اصلا وجهك راه مديفورمى خلاص تقول فات عليك كاميون سومى بقره  ايديو بغله  نتى لو تجى عالجزائر نقطعوك طراف طراف  ، جزائريه  وافتخر .,P
82,😨😨😨😨😨هاذه منين😨😨😨😨😨😨ياااا,😨😨😨😨😨هاذه منين😨😨😨😨😨😨ياااا,N
83,😬😬جو اوف خلاص طفشت ممكن تعمل الحلقه  عن الفنان ناصيف زيتون,😬😬جو اوف خلاص طفشت ممكن تعمل الحلقه  عن الفنان ناصيف زيتون,N
84,😮😵😨😮ي💩 شنوو هذه كبرررر حته كبرر فرحان بروحك انته يالخنيث لان انته صدك خنيث واكبر متستحى ولله قهر هيج شكول موجود مال ذبح ولله بدى امووتك😵😟😠🙌🙌👎👎✋😬,😮😵😨😮ي💩 شنوو هذه كبرررر حته كبرر فرحان بروحك انته يالخنيث لان انته صدك خنيث واكبر متستحى ولله قهر هيج شكول موجود مال ذبح ولله بدى امووتك😵😟😠🙌🙌👎👎✋😬,P
85,😱😱😱😱اشلون تذكر عائشه  رضى الله عنها على لسانهه  😱,😱😱😱😱اشلون تذكر عائشه  رضى الله عنها على لسانهه  😱,N
86,😱😱😱اول لمقطع دخيل الله هى لادب,😱😱😱اول لمقطع دخيل الله هى لادب,N
87,😲😲😲😲😲 افتجات حقا افتجات حسبى الله ونعم الوكيل,😲😲😲😲😲 افتجات حقا افتجات حسبى الله ونعم الوكيل,N
88,😲😲😲😲😲😲 شو هاد يخرب بيتك كيف عم يلبس كمان 😳😳😲😲😲😲,😲😲😲😲😲😲 شو هاد يخرب بيتك كيف عم يلبس كمان 😳😳😲😲😲😲,N
89,"😳 الحسد الله يشافيهم منه 
كاظم ارقى انسان و اطيب قلب الله يحميه من حساد",😳 الحسد الله يشافيهم منه  كاظم ارقى انسان و اطيب قلب الله يحميه من حساد,N
90,😳معقوله  هذه عراقي🤔 استغفر الله  نوبت متحولين جنسين😵  اقل شى الشسمه  خلى اله  قيمه,😳معقوله  هذه عراقي🤔 استغفر الله  نوبت متحولين جنسين😵  اقل شى الشسمه  خلى اله  قيمه,N
91,😷😷😷 لعيت نفسي,😷😷😷 لعيت نفسي,N
92,🙆🙆🙆🙆 كاظم ماصار له يومين يغنى اووووف قويه 😂😂 والله قاهرهم كاظم ايش هذا كل من يقول احنا طلعنا كاظم,🙆🙆🙆🙆 كاظم ماصار له يومين يغنى اووووف قويه 😂😂 والله قاهرهم كاظم ايش هذا كل من يقول احنا طلعنا كاظم,N
93,009647826509977  حمودي,009647826509977  حمودي,N
94,"04  :  09  شوفو اشكال اللى جنبهاا  .  .  ههههههههههههههههههههههههه واضح انهم متضايقين منها ويقولون فى نفسهم  "" متى تسكت المتفلسفه ذى ""  XD","04  :  09  شوفو اشكال اللى جنبهاا  .  .  ههههههههههههههههههههههههه واضح انهم متضايقين منها ويقولون فى نفسهم  "" متى تسكت المتفلسفه ذى ""  XD",N
95,1  :  30  معا حق الرجل قال الحريم هدول شهرو مصر انو مصر بلد العهور و الرقصات مفروض دى الاشكال تنشال,1  :  30  معا حق الرجل قال الحريم هدول شهرو مصر انو مصر بلد العهور و الرقصات مفروض دى الاشكال تنشال,P
96,1  :  50  معتبره نفسها خليجيه الاخت .  .  نعم ؟  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !,1  :  50  معتبره نفسها خليجيه الاخت .  .  نعم ؟  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !,N
97,1  :  56  يعنى يا ابن الكلب انت الحين تحسب نفسك بنت😂 !  !  !  !  !  !,1  :  56  يعنى يا ابن الكلب انت الحين تحسب نفسك بنت😂 !  !  !  !  !  !,P
98,"10  حثاله ظهروا يتكلمون عن القيصر كاظم الساهر 
حثاله",10  حثاله ظهروا يتكلمون عن القيصر كاظم الساهر  حثاله,P
99,10000  $  Naw 🇺🇸✍🏻✍🏻💳💌🇺🇸,10000  $  Naw 🇺🇸✍🏻✍🏻💳💌🇺🇸,N
100,"١١  :  ٣٩  
اسمعوا  "" دا اكيد غيره على قوزك وكلام دا بتاع الستات يلا يلا ""  هههههههههههههههههههههههههههههههههههههههههه وربى اللجمتها مزبوط متتت ضحككك 😂  .  .  .  

وبعدين تجيك الثانيه اللى اسمها جنجاه تقول هذا جنس مباشر وانتى مين تقارنى نفسك بفنانه  كبيره  نفس سعاد حسنى !  شفيها محسستنى ان سعاد حسنى راعيه حلقات قرآن ؟  ترا كل افلامها شفشفه ومخنثه جت على المسكينه ذى كلكم قمتوا عليها ؟  😂  .  .","١١  :  ٣٩   اسمعوا  "" دا اكيد غيره على قوزك وكلام دا بتاع الستات يلا يلا ""  هههههههههههههههههههههههههههههههههههههههههه وربى اللجمتها مزبوط متتت ضحككك 😂  .  .  .    وبعدين تجيك الثانيه اللى اسمها جنجاه تقول هذا جنس مباشر وانتى مين تقارنى نفسك بفنانه  كبيره  نفس سعاد حسنى !  شفيها محسستنى ان سعاد حسنى راعيه حلقات قرآن ؟  ترا كل افلامها شفشفه ومخنثه جت على المسكينه ذى كلكم قمتوا عليها ؟  😂  .  .",P
101,11111 😂😂😂😂😂😂,11111 😂😂😂😂😂😂,N
102,2  هاى شدتحس,2  هاى شدتحس,N
103,٢  هذى شريطه  تكون على الفخذ مو شى ثاني,٢  هذى شريطه  تكون على الفخذ مو شى ثاني,N
104,"2  يا ليتنا كنا معكم و نتونس ونسه  🔞 😉 عظيمه .  . 




اوف عذاب  :  (",2  يا ليتنا كنا معكم و نتونس ونسه  🔞 😉 عظيمه .  .      اوف عذاب  :  (,N
105,2 كيلو مكياج فين هى لى غنت,2 كيلو مكياج فين هى لى غنت,N
106,3  :  13   خلقت من اجل   .  .  .  .  .  .  .   👌,3  :  13   خلقت من اجل   .  .  .  .  .  .  .   👌,N
107,3  :  20    مهو يا غبيه انت وطاقم التمثيل الجاهل خير مثال للعرب المتخلفين المقلدين للغرب والاتراك  /   اجهل عرب بس فى الخليج تلاقيهم   /   يا متخلفه  لو جد بدكم تنجحوا وتبرعوا بشيء معين ما بتروحوا تعملوه وتمثلوه ببلاد الاتراك  .  .   كتقليد ومحاوله  وصول .,3  :  20    مهو يا غبيه انت وطاقم التمثيل الجاهل خير مثال للعرب المتخلفين المقلدين للغرب والاتراك  /   اجهل عرب بس فى الخليج تلاقيهم   /   يا متخلفه  لو جد بدكم تنجحوا وتبرعوا بشيء معين ما بتروحوا تعملوه وتمثلوه ببلاد الاتراك  .  .   كتقليد ومحاوله  وصول .,P
108,3  :  25  هو نانسى ليش مو لابسه  شى يرفع صدرها مخليته مدندل o _  0,3  :  25  هو نانسى ليش مو لابسه  شى يرفع صدرها مخليته مدندل o _  0,P
109,3  :  55   مريم حسين   العرب راح يكونون الافضل👑 والاول🔝 والاحسان👍 لان الحين قولو الانبياء و محمد صلى الله عليه وسلم     اجانب❔❔ افضل امه  فى الدنيا حنا و الاجانب الا من رحم ربى فى الجهنم  وانتى اختارو تكونو عرب ولا اجانب يكفى يكفى احنا الاول والافضل والاجانب ما يسون نعل 👞,3  :  55   مريم حسين   العرب راح يكونون الافضل👑 والاول🔝 والاحسان👍 لان الحين قولو الانبياء و محمد صلى الله عليه وسلم     اجانب❔❔ افضل امه  فى الدنيا حنا و الاجانب الا من رحم ربى فى الجهنم  وانتى اختارو تكونو عرب ولا اجانب يكفى يكفى احنا الاول والافضل والاجانب ما يسون نعل 👞,N
110,3  :  55   مريم حسين   العرب راح يكونون الافضل👑 والاول🔝 والاحسان👍 لان الحين قولو الانبياء و محمد صلى الله عليه وسلم     اجانب❔❔ افضل امه  فى الدنيا حنا و الاجانب الا من رحم ربى فى الجهنم  وانتى اختارو تكونو عرب ولا اجانب يكفى يكفى احنا الاول والافضل والاجانب ما يسون نعل 👞,3  :  55   مريم حسين   العرب راح يكونون الافضل👑 والاول🔝 والاحسان👍 لان الحين قولو الانبياء و محمد صلى الله عليه وسلم     اجانب❔❔ افضل امه  فى الدنيا حنا و الاجانب الا من رحم ربى فى الجهنم  وانتى اختارو تكونو عرب ولا اجانب يكفى يكفى احنا الاول والافضل والاجانب ما يسون نعل 👞,N
111,٤   عاد ما يبونك لا تصيرين نشبه .,٤   عاد ما يبونك لا تصيرين نشبه .,N
112,"4  :  21 

شيخه موزه والا شيخه بطيخه هههههههه",4  :  21   شيخه موزه والا شيخه بطيخه هههههههه,P
113,4  :  40  طلع جوزها اجحش منها,4  :  40  طلع جوزها اجحش منها,P
114,5  ضربه  القاضيه  😂😂😂😂😂,5  ضربه  القاضيه  😂😂😂😂😂,N
115,"5  :  31  اكسيوزمى هههههههههه
والله لو الزم الى علمج انجليزى اله  احط طلقه  براسه",5  :  31  اكسيوزمى هههههههههه والله لو الزم الى علمج انجليزى اله  احط طلقه  براسه,N
116,5  :  31  .  اكسيوزمى .  هههههه,5  :  31  .  اكسيوزمى .  هههههه,N
